Time [HH:mm:ss], seconds [.ffff], tick [], inc time [s], xAccel [m/s/s], yAccel [m/s/s], zAccel [m/s/s]
11:11:52,0.501,0,0.0,0.0425006,0.2001421,-9.7297869
11:11:52,0.511,20,0.009765625,0.6027642,-0.3620094,-9.8348695
11:11:52,0.52,40,0.01953125,0.4070389,-0.1948178,-10.0707217
11:11:52,0.53,60,0.029296875,0.1330235,0.0596042,-9.7484682
11:11:52,0.54,80,0.0390625,0.0816456,-0.020357,-9.8442102
11:11:52,0.55,100,0.048828125,0.0425006,-0.0470107,-9.9469577
11:11:52,0.56,120,0.05859375,0.0106952,0.1831806,-9.8255288
11:11:52,0.569,140,0.068359375,0.1795083,0.088681,-9.785831
11:11:52,0.579,160,0.078125,0.1403632,-0.1051643,-9.7811606
11:11:52,0.589,180,0.087890625,0.186848,-0.1342411,-9.8979191
11:11:52,0.599,200,0.09765625,0.1452563,0.0474889,-9.7881661
11:11:52,0.608,220,0.107421875,0.1501495,0.1274501,-9.7975068
11:11:52,0.618,240,0.1171875,0.1990808,0.0668734,-9.9329467
11:11:52,0.628,260,0.126953125,0.2455656,0.0329505,-9.8582212
11:11:52,0.638,280,0.13671875,0.1795083,0.0838349,-9.8792377
11:11:52,0.647,300,0.146484375,0.2406724,0.1177578,-9.8372047
11:11:52,0.657,320,0.15625,0.2700312,0.1516808,-9.8372047
11:11:52,0.667,340,0.166015625,0.2626915,0.0232582,-9.8535509
11:11:52,0.677,360,0.17578125,0.2871572,0.0062967,-9.7508034
11:11:52,0.687,380,0.185546875,0.2724778,0.1007964,-9.7531386
11:11:52,0.696,400,0.1953125,0.2626915,0.086258,-9.813853
11:11:52,0.706,420,0.205078125,0.2015274,-0.0130878,-9.8231937
11:11:52,0.716,440,0.21484375,0.1746151,-0.0009725,-9.8208585
11:11:52,0.726,460,0.224609375,0.152596,0.125027,-9.8839081
11:11:52,0.735,480,0.234375,0.1770617,0.1032194,-9.8698971
11:11:52,0.745,500,0.244140625,0.2357793,0.0014506,-9.8815729
11:11:52,0.755,520,0.25390625,0.2504587,-0.0276262,-9.8909136
11:11:52,0.765,540,0.263671875,0.2577984,-0.0348954,-9.8231937
11:11:52,0.774,560,0.2734375,0.2186533,-0.0494338,-9.841875
11:11:52,0.784,580,0.283203125,0.1721686,-0.020357,-9.8185233
11:11:52,0.794,600,0.29296875,0.1672754,0.122604,-9.8115178
11:11:52,0.804,620,0.302734375,0.1574892,0.1153348,-9.8488805
11:11:52,0.813,640,0.3125,0.1403632,0.0983733,-9.841875
11:11:52,0.823,660,0.322265625,0.2749244,0.0959502,-9.8395399
11:11:52,0.833,680,0.33203125,0.1477029,0.086258,-9.8231937
11:11:52,0.843,700,0.341796875,0.1379166,0.049912,-9.8442102
11:11:52,0.853,720,0.3515625,0.2455656,0.0474889,-9.8325344
11:11:52,0.862,740,0.361328125,0.2577984,-0.0082417,-9.8325344
11:11:52,0.872,760,0.37109375,0.169722,-0.0130878,-9.8605564
11:11:52,0.882,780,0.380859375,0.1110044,0.0644504,-9.8255288
11:11:52,0.892,800,0.390625,0.2064205,0.0717196,-9.8348695
11:11:52,0.901,820,0.400390625,0.1012182,0.0911041,-9.8652267
11:11:52,0.911,840,0.41015625,0.1379166,0.1201809,-9.8161882
11:11:52,0.921,860,0.419921875,0.1819548,0.1686422,-9.7811606
11:11:52,0.931,880,0.4296875,0.1648289,0.122604,-9.813853
11:11:52,0.94,900,0.439453125,0.2382259,0.0208352,-9.8301992
11:11:52,0.95,920,0.44921875,0.260245,-0.0712414,-9.8208585
11:11:52,0.96,940,0.458984375,0.3581076,-0.0542799,-9.8839081
11:11:52,0.97,960,0.46875,0.4437374,-0.0906259,-9.9212708
11:11:52,0.979,980,0.478515625,0.429058,-0.0397415,-9.9913259
11:11:52,0.989,1000,0.48828125,0.260245,0.2752572,-9.937617
11:11:52,0.999,1020,0.498046875,0.6027642,0.2292189,-9.7391276
11:11:53,0.009,1040,0.5078125,0.4315046,0.122604,-9.6457208
11:11:53,0.019,1060,0.517578125,0.1012182,0.0814118,-9.7064352
11:11:53,0.028,1080,0.52734375,0.0498403,-0.0082417,-9.7111055
11:11:53,0.038,1100,0.537109375,0.333642,-0.0324723,-9.7461331
11:11:53,0.048,1120,0.546875,0.4706497,-0.0082417,-9.8582212
11:11:53,0.058,1140,0.556640625,0.3850198,0.0717196,-10.0263534
11:11:53,0.067,1160,0.56640625,0.0620731,0.2025652,-9.909595
11:11:53,0.077,1180,0.576171875,0.2626915,0.0983733,-9.9119301
11:11:53,0.087,1200,0.5859375,0.1428098,0.0402197,-9.9306115
11:11:53,0.097,1220,0.595703125,-0.0602552,0.2364881,-9.7764903
11:11:53,0.106,1240,0.60546875,0.225993,0.1298732,-9.7554737
11:11:53,0.116,1260,0.615234375,0.3238557,-0.020357,-9.6830835
11:11:53,0.126,1280,0.625,0.3996992,0.0765657,-9.6807483
11:11:53,0.136,1300,0.634765625,0.8669934,0.0814118,-9.6667373
11:11:53,0.145,1320,0.64453125,0.5880848,0.0184121,-9.8512157
11:11:53,0.155,1340,0.654296875,0.1354701,0.0911041,-9.8932488
11:11:53,0.165,1360,0.6640625,0.1232373,0.0353736,-9.9166005
11:11:53,0.175,1380,0.673828125,0.0180349,0.231642,-9.9282763
11:11:53,0.185,1400,0.68359375,0.2064205,0.2001421,-9.8769026
11:11:53,0.194,1420,0.693359375,0.2700312,0.1129117,-9.8535509
11:11:53,0.204,1440,0.703125,0.2455656,0.0620273,-9.6690725
11:11:53,0.214,1460,0.712890625,0.6468024,0.1032194,-9.662067
11:11:53,0.224,1480,0.72265625,0.6688215,0.161373,-9.6877538
11:11:53,0.233,1500,0.732421875,0.2480121,0.2607188,-9.7975068
11:11:53,0.243,1520,0.7421875,0.0058021,0.3067571,-9.7251165
11:11:53,0.253,1540,0.751953125,0.169722,0.122604,-9.7811606
11:11:53,0.263,1560,0.76171875,0.130577,0.0426428,-9.9843204
11:11:53,0.272,1580,0.771484375,0.2088671,0.15895,-9.8839081
11:11:53,0.282,1600,0.78125,0.4143786,0.1153348,-9.7554737
11:11:53,0.292,1620,0.791015625,0.3360885,-0.0082417,-9.7905013
11:11:53,0.302,1640,0.80078125,0.355661,0.0426428,-9.690089
11:11:53,0.312,1660,0.810546875,0.3752336,0.086258,-9.7367924
11:11:53,0.321,1680,0.8203125,0.4779894,0.0208352,-9.7134407
11:11:53,0.331,1700,0.830078125,0.5073482,0.195296,-9.8255288
11:11:53,0.341,1720,0.83984375,0.4779894,0.2825264,-9.785831
11:11:53,0.351,1740,0.849609375,0.389913,0.1395654,-9.8932488
11:11:53,0.36,1760,0.859375,0.1574892,0.2049882,-9.9609687
11:11:53,0.37,1780,0.869140625,0.2113136,0.197719,-9.8769026
11:11:53,0.38,1800,0.87890625,0.1795083,0.122604,-9.8021771
11:11:53,0.39,1820,0.888671875,0.6516956,0.013566,-9.5850064
11:11:53,0.399,1840,0.8984375,0.7691308,-0.0276262,-9.813853
11:11:53,0.409,1860,0.908203125,0.4217183,0.2801033,-9.7344572
11:11:53,0.419,1880,0.91796875,0.6859475,0.1129117,-9.7064352
11:11:53,0.429,1900,0.927734375,0.5073482,0.0765657,-9.8675619
11:11:53,0.438,1920,0.9375,0.2480121,0.2025652,-9.8839081
11:11:53,0.448,1940,0.947265625,0.3483214,0.2486034,-10.0076721
11:11:53,0.458,1960,0.95703125,0.316516,0.122604,-9.8955839
11:11:53,0.468,1980,0.966796875,0.4363977,-0.0809337,-9.9539632
11:11:53,0.478,2000,0.9765625,0.1110044,-0.1318181,-9.7951716
11:11:53,0.487,2020,0.986328125,0.186848,0.1395654,-9.8045123
11:11:53,0.497,2040,0.99609375,0.4119321,0.1298732,-9.9049246
11:11:53,0.507,2060,1.005859375,0.8033827,-0.0082417,-9.6807483
11:11:53,0.517,2080,1.015625,0.372787,0.1347193,-9.8862433
11:11:53,0.526,2100,1.025390625,0.1917411,0.231642,-9.7344572
11:11:53,0.536,2120,1.03515625,0.4706497,0.122604,-9.8769026
11:11:53,0.546,2140,1.044921875,0.4779894,0.0305274,-10.0426996
11:11:53,0.556,2160,1.0546875,0.2749244,-0.056703,-10.0123424
11:11:53,0.565,2180,1.064453125,0.446184,-0.0663953,-9.9866556
11:11:53,0.575,2200,1.07421875,0.2553518,-0.1463565,-9.951628
11:11:53,0.585,2220,1.083984375,0.5293673,-0.0494338,-9.9329467
11:11:53,0.595,2240,1.09375,0.6027642,0.0281044,-9.6036877
11:11:53,0.604,2260,1.103515625,0.186848,-0.3692786,-9.799842
11:11:53,0.614,2280,1.11328125,0.3825733,-0.1269719,-9.5569843
11:11:53,0.624,2300,1.123046875,0.7691308,0.0741426,-10.0100073
11:11:53,0.634,2320,1.1328125,0.389913,0.1904498,-10.0964085
11:11:53,0.644,2340,1.142578125,0.1623823,0.0959502,-10.0170128
11:11:53,0.653,2360,1.15234375,-0.0382361,-0.0373185,-10.0006666
11:11:53,0.663,2380,1.162109375,0.2284396,-0.0954721,-10.2084967
11:11:53,0.673,2400,1.171875,0.3923595,-0.1318181,-9.8185233
11:11:53,0.683,2420,1.181640625,0.4584168,0.0402197,-9.0082194
11:11:53,0.692,2440,1.19140625,0.5097947,0.0208352,-9.827864
11:11:53,0.702,2460,1.201171875,0.5734054,0.0692965,-9.8698971
11:11:53,0.712,2480,1.2109375,0.389913,-0.0518569,-9.4192093
11:11:53,0.722,2500,1.220703125,0.0302677,-0.0421646,-10.0030017
11:11:53,0.731,2520,1.23046875,0.333642,-0.0155109,-10.1641285
11:11:53,0.741,2540,1.240234375,0.6003177,-0.1390873,-10.4653654
11:11:53,0.751,2560,1.25,0.1183441,-0.0445877,-9.6153636
11:11:53,0.761,2580,1.259765625,0.9917683,0.1541038,-9.470583
11:11:53,0.77,2600,1.26953125,0.3874664,0.1298732,-9.7251165
11:11:53,0.78,2620,1.279296875,0.225993,0.0814118,-9.937617
11:11:53,0.79,2640,1.2890625,0.8180621,0.1565269,-9.5453085
11:11:53,0.8,2660,1.298828125,0.4902222,0.5151408,-9.6130284
11:11:53,0.81,2680,1.30859375,0.2406724,-0.3644325,-9.9679742
11:11:53,0.819,2700,1.318359375,0.4363977,0.2437573,-9.7297869
11:11:53,0.829,2720,1.328125,0.5807451,0.3721799,-9.7251165
11:11:53,0.839,2740,1.337890625,0.0743059,0.3188724,-10.0170128
11:11:53,0.849,2760,1.34765625,0.1085579,0.3455261,-9.5289623
11:11:53,0.858,2780,1.357421875,1.055379,-0.5679701,-10.2225077
