Time [HH:mm:ss], seconds [.ffff], tick [], inc time [s], xAccel [m/s/s], yAccel [m/s/s], zAccel [m/s/s]
11:11:52,0.501,0,0.0,0.0425006,0.2001421,-9.7297869
11:11:52,0.505,8,0.00390625,-0.2559805,0.5127178,-10.0100073
11:11:52,0.509,16,0.0078125,0.6516956,-0.3062789,-10.103414
11:11:52,0.513,24,0.01171875,0.2651381,0.1371424,-9.7204462
11:11:52,0.517,32,0.015625,-0.2315149,0.6387172,-9.7975068
11:11:52,0.52,40,0.01953125,0.4070389,-0.1948178,-10.0707217
11:11:52,0.524,48,0.0234375,0.446184,0.0038737,-9.8839081
11:11:52,0.528,56,0.02734375,-0.0455758,0.0596042,-9.7041
11:11:52,0.532,64,0.03125,0.3214091,-0.1221258,-9.8115178
11:11:52,0.536,72,0.03515625,0.2700312,-0.1124335,-10.0240183
11:11:52,0.54,80,0.0390625,0.0816456,-0.020357,-9.8442102
11:11:52,0.544,88,0.04296875,0.260245,-0.0130878,-9.6153636
11:11:52,0.548,96,0.046875,0.186848,-0.0397415,-9.9773149
11:11:52,0.552,104,0.05078125,0.0425006,0.2001421,-9.8161882
11:11:52,0.556,112,0.0546875,0.2406724,0.1686422,-9.7297869
11:11:52,0.56,120,0.05859375,0.0106952,0.1831806,-9.8255288
11:11:52,0.563,128,0.0625,0.1795083,0.195296,-9.8185233
11:11:52,0.567,136,0.06640625,0.0596265,0.0305274,-9.662067
11:11:52,0.571,144,0.0703125,0.1721686,0.0935272,-9.8185233
11:11:52,0.575,152,0.07421875,0.1428098,-0.0009725,-9.8301992
11:11:52,0.579,160,0.078125,0.1403632,-0.1051643,-9.7811606
11:11:52,0.583,168,0.08203125,0.040054,-0.0082417,-9.718111
11:11:52,0.587,176,0.0859375,0.2308862,-0.0397415,-9.8698971
11:11:52,0.591,184,0.08984375,0.1036647,-0.0348954,-9.8769026
11:11:52,0.595,192,0.09375,0.0669662,0.122604,-9.799842
11:11:52,0.599,200,0.09765625,0.1452563,0.0474889,-9.7881661
